Serial Number,Kind,Type,Name of Variety/ Hybrid,Recommended State Union territories for sale
151,Chickpea,Open Pollinated Variety,Gujarat Kabuli Gram 1 (Sorath Kabuli 1) GJGK 1617,Gujarat
152,Chickpea,Open Pollinated Variety,Gujarat Gram 7 (SorathSuraj) GJG 1611,Gujarat
153,Lentil,Open Pollinated Variety,IPL 230,Uttar Pradesh
154,Lentil,Open Pollinated Variety,VL Masoor 150 (VL 150),Uttarakhand
155,Cowpea,Open Pollinated Variety,GC 7 (Banas Tejas) GC 1501,Gujarat
156,Cowpea,Variety,PhuleSonali,Maharashtra
157,Cowpea,Open Pollinated Variety,Shalimar Cowpea-2 (SKUA-WCP-149),Jammu and Kashmir
158,Fieldpea,Open Pollinated Variety,VL Matar 64 (VL 64),Uttarakhand
159,Urdbean,Open Pollinated Variety,Mash 1190 (SUG 1190),"Punjab, Haryana, Uttar Pradesh and Uttarakhand"
160,Urdbean,Open Pollinated Variety,Lam Minumu 884 (LBG 884),Andhra Pradesh
161,Urdbean,Open Pollinated Variety,Madhira Minumu-01 (MBG -1070),Telangana
162,Urdbean,Open Pollinated Variety,BDU-12,Karnataka
163,Urdbean,Open Pollinated Variety,DBG-16 (DBGV-16),Karnataka
164,Urdbean,Open Pollinated Variety,TRCRU-22,Karnataka
165,Urdbean,Open Pollinated Variety,Phule Vasu (PU-0609-43),Maharashtra
166,Urdbean,Open Pollinated Variety,Mash 883 (KUG 883),Punjab
167,Mungbean,Open Pollinated Variety,Lam Pesara 574 (LGG 574),Andhra Pradesh
168,Mungbean,Open Pollinated Variety,Lam Pesara 607 (LGG 607),Andhra Pradesh
169,Mungbean,Open Pollinated Variety,TRCRM-147,Karnataka
170,Rajmash,Open Pollinated Variety,Shalimar Rajmash-4 (SKAU-WB- 341)),Jammu and Kashmir
171,Rajmash,Open Pollinated Variety,Shalimar Rajmash-3 (SKAU-WB-1634),Jammu and Kashmir
172,Cluster bean,Open Pollinated Variety,Karan Guar-14 (RGR 18-1),"Rajasthan, Gujarat, Haryana and Maharashtra"
173,Forage Sorghum,Open Pollinated Variety,CSV 53F (SPV 2705),"Gujarat, Rajasthan, Punjab, Haryana, Uttarakhand, Karnataka and Tamil Nadu"
174,Fodder Pearl millet,Open Pollinated Variety,BAIF Bajra-7,"Tamil Nadu, Telangana, Andhra Pradesh and Karnataka"
175,Fodder Pearl millet,Hybrid,Milkon (Dev 1),"Tamil Nadu, Telangana, Andhra Pradesh and Karnataka"
176,Fodder Cowpea,Open Pollinated Variety,IGFRI - DC - 215,Karnataka
177,Oat,Open Pollinated Variety,OL 16 (OL 1876-2),Punjab
178,Fodder Oat,Open Pollinated Variety,Narendra Jaypee- 1101 (NDO-1101),Uttar Pradesh
179,Sugarcane,Open Pollinated Variety,Phule 11082 (CoM 11082),Maharashtra
180,Tosa Jute,Open Pollinated Variety,JROBA-3 (CRIJAF- Mukunda),"West Bengal, Assam, Odisha and Bihar"
181,Jute,Open Pollinated Variety,ICAR-CRIJAF Jute JRCP-5 (Pankaj) (JRCP-5),"West Bengal, Odisha, Bihar, Uttar Pradesh, Tripura and Assam"
182,Mesta (Kenaf),Open Pollinated Variety,JBMP 5 (Vibhav) (JRK- 2016-5),"West Bengal, Bihar, Andhra Pradesh, Odisha, Maharashtra and North-Eastern States of India"
183,Mesta (Roselle),Open Pollinated Variety,HSLC 1,"Andhra Pradesh, Telangana, Tamil Nadu, Maharashtra, Bihar, Orissa, West Bengal and North Eastern States."
184,Cotton,Open Pollinated Variety,Nandyal Cotton 25 (NDLH 2035-5),"Maharashtra, Madhya Pradesh, Odisha, South Rajasthan and Gujarat, Telangana, Andhra Pradesh, Karnataka and Tamil Nadu"
185,Cotton,Open Pollinated Variety,PAU Bt 5 (PBH Bt 21),"Punjab, Haryana and Rajasthan under irrigated condition"
186,Cotton,Bt-Hybrid,Pushpa (Hy. Cotton Daftari 2244 BG II ),"Maharashtra, Madhya Pradesh and Gujarat"
187,Cotton,Bt-Hybrid,ARCH 3106 BG II,"Madhya Pradesh, Maharashtra and Gujarat"
188,Cotton,Bt-Hybrid,GBCH-1801 BG II,"Karnataka, Andhra Pradesh, Telangana and Tamil Nadu"
189,Cotton,Bt-Hybrid,Rocky (Hy. Cotton Daftari 3434 BG II),"Maharashtra, Madhya Pradesh and Gujarat under irrigated condition"
190,Cotton,Bt-Hybrid,CICR B Cotton 55 (CCB 51-2),"Andhra Pradesh, Telangana, Karnataka and Tamil Nadu"
191,Cotton,Bt-Hybrid,SP7686 BG II,"Telangana, Andhra Pradesh, Karnataka and Tamil Nadu"
192,Cotton,Bt-Hybrid,SP7674 BG II,"Haryana, Punjab and Rajasthan"
193,Cotton,Bt-Hybrid,SP7679BGII,"Telangana, Karnataka, Andhra Pradesh and Tamil Nadu"
194,Cotton,Bt-Hybrid,CCH-03 BG II (CCH-333 BGII),Telangana and Andhra Pradesh
